ID,Category
A very German story has ended with the completion of the Humboldt Forum in a replica of Berlin’s former Royal Palace. The site - where the Kaiser once resided and the Palace of the Republic of Communist East Germany once stood - sparked controversy from the start.,English
"Nobody knows how many child migrants pass through Serbia every year, in search of a new life in Europe. Many have been on the move for months or even years, and thousands go missing. DW's Fanny Facsar met some young migrants in Belgrade. ",English
"On this edition with Karin Helmstaedt: initiatives in Africa demand the return of looted cultural artifacts; a new building by Frank Gehry graces the Luma Arles culture campus; and the Verona Arena Opera Festival is back, thanks to hi-tech sets.",English
"The Amazon - The challenge of communicating diversity. Study on the cases of Colombia, Ecuador and Peru.",English
African Union calls on EU to approve Covishield - Hopes for Morocco tourism as restrictions ease - Doing business in space,English
DW brings you the top international news stories in brief,English
Ethiopia’s federal gov’t announces a cease-fire in Tigray conflict+++South Africa's top court sentences former president Jacob Zuma to 15 months in jail+++Many injured in the Kingdom of Eswatini as protestors call for political reforms.,English
"Pesticide manufacturer Hans-Dietrich Reckhaus is altering his products in order to spare insects. While he hasn’t completely changed his production, it’s a beginning. His first design saves fruit flies from certain death. ",English
"A cure for coronavirus is still not in sight. But as doctors learn more about COVID-19, they are beginning to adjust their treatment of patients — and look beyond vaccinations. ",English
"In a dramatic turn of events, Tigray's former leaders say they are now in control of the regional capital, Mekelle, and the Ethiopian central government has declared a unilateral cease-fire. Thousands have been killed since fighting broke out in November 2020, and more than 2 million people have been displaced.",English
"Uganda is battling a resurgence of coronavirus infections, driven mostly by the delta variant. The government has tightened restrictions, closing schools, imposing a nighttime curfew and banning all nonessential travel. While hospitals grapple with oxygen shortages, the country continues to wait for desperately needed vaccines.",English
"With the airline industry facing its biggest crisis ever, airlines and manufacturers are investing in sustainable options. Use of climate-neutral fuel is increasing, while Boeing plans to have its entire fleet flying on biofuel by 2030. ",English
Every year around 1.3 billion tons of food are discarded - while over 820 million people around the world go hungry. An American company has developed a substance that can extend the shelf-life of fruit and vegetables. ,English
We have the technology to transform seawater into freshwater. So why are we not using it to solve the global water crisis? Berlin start-up Boreal Light has come up with a low-cost and sustainable solution. ,English
"As the world moves towards green economies, sustainability has become a big marketing factor. But are companies that boast about their environmentally-friendly credentials as green as they claim to be?",English
"Social media platforms are awash with pictures, videos, and all kinds of messages from youth all seeking ways to express themselves. But where is the limit? The recent case of a teenage girl from Cameroon whose nudes and sextapes swamped social media is one of many such examples. Are the young people who allow themselves to be filmed to blame? Listen to this interesting debate.",English
We ask our science correspondent Derrick Williams if there are any ways to mitigate your chances of developing a thrombosis if you’re vaccinated with AstraZeneca.,English
"Celebrations to mark 100 years of Communist Party rule are underway in China. They'll culminate in gala events on July 1, the actual date of the anniversary. We look at the message the party is sending out. And Afghanistan's drug abuse problem. How continued instability in the country could undo one woman's efforts to save its victims. ",English
The Canadian-American star architect's latest work is complete and a testament to his ability to create eyeball-cathing structures.,English
"The Communist Party of China is about to turn 100, and it's pulling out all the stops to mark the occasion. The party has staged a gala performance at the famous National Stadium, also called the Bird's Nest, and preparations for a week of celebrations are underway in central Beijing. ",English
A Tale of Two AstraZeneca Jabs - New Space Race,English
"Data from space will be key to unlocking new technical innovations in the future. Navigation, communication, Earth observation — more satellites are delivering ever more data.",English
"As more private firms and startups rush into the space sector and provide satellites for different missions, who can ensure that near-Earth space doesn't get overcrowded? Are there already too many satellites out there?",English
"Pakistan, the ""Land of the Pure"" in Urdu, remains a paradox. Known as a bastion of radical Islam, the country is striving to become a modern state. This documentary examines the undercurrents threatening the stability of this nuclear-armed nation.",English
"Every year, the German National Committee for Monument Protection awards prizes for successful and sustainable monument preservation. Our #DailyDrone presents the award winners. Today: the NABU local group Kirchberg e.V. for the area monument Hoher Forst. @Kulturerbe_DNK @NABU_de",English
"The #DailyDrone takes you to the Schlachtensee student village. The listed section was built from 1959-1964. The buildings have been renovated since 2006, thanks to the Studentendorf Schlachtensee eG initiative — the recipient of the Historic Heritage Prize from @Kulturerbe_DNK.",English
Topping a Trillion - New Space Race,English
NATO and Ukraine have launched a major military exercise in the Black Sea and southern Ukraine. Sea Breeze 2021 comes amid a rise in tensions between the alliance and Moscow. The Russian Defense Ministry said it would monitor the drills closely.,English
Facebook tops $1 trillion in market value - Mobile World Congress begins without key players - Lebanon plunges deeper into economic crisis,English
"The Delta coronavirus variant is spreading. Australia is battling outbreaks, along with South Africa &amp; Bangladesh. Plus, the extreme heat wave in the US &amp; Canadian West. It is shattering all-time high temperature records &amp; endangering health.",English
"Assisted reproduction is now only allowed for heterosexual couples. Some 3,000 single and gay French women travel abroad every year to have a baby. Now lawmakers are debating a bill which would make treatment available to every French would-be mother.",English
"On Tuesday, England will host Germany at Wembley in the last 16 of Euro 2020. Historically, Germany have come out on top in these tournament clashes, with one exception that goes way back. ",English
Lebanon plunges deeper into economic crisis - Mobile World Congress begins without key players - Young Africans earn a living from e-sports,English
"There's growing concern about increasing numbers of migrants arriving on the island of Lampedusa, Italy. The island has long been a magnet for people hoping to apply for asylum in Europe – and recent weeks have seen hundreds of arrivals. ",English
"As the country battles a third wave of infections, President Ramaphosa says all gatherings will be banned for two weeks. DW visited the town of Kliprand, where residents were just getting their freedom back after two weeks of quarantine. ",English
News+++ Tanzania's Samia Suluhu's first 100 days in office+++Amnesty International concerned ahead of Zambia election+++Rwanda introduced green transport in Kigali+++South Africa enters strict lockdown+++Euro2020 action update,English
"Italian prosecutor Nicola Gratteri is on a mission -- against the mafia. After ordering the arrest of nearly 350 members of the notorious 'Ndrangheta syndicate, along with politicians and officials accused of assisting them, he is now launching Italy’s biggest mafia trial in three decades.",English
"While some countries' inoculation drives are in full swing, most are still struggling with a vaccine shortage. Governments should be employing extra measures to keep unvaccinated essential workers safe. Taiwan has come up with some innovative new rules to protect this very demographic.",English
"Many Southeast Asian nations have been slow to inoculate their populations, especially when compared to Europe and the US. Vaccine skepticism is also playing a role. Hong Kong is now using prizes of real estate to lure people to get a jab.",English
We ask our science correspondent Derrick Williams if COVID-19 variants are likely to become more deadly and contagious over time.,English
We've become familiar with complex medical terminology and virological concepts since the pandemic began. But developments like the delta variant make it clear it will not end quickly. And we still have a lot to learn about the coronavirus.,English
"Large parts of the United States and Canada are experiencing soaring hot temperatures. In a Canadian village in British Columbia, the mercury hit 46 degrees Celsius. In the US, the heat has forced schools and food markets to shut down. ",English
"German star chef Andree Köthe ventures off into nature every morning to collect ingredients. He takes what others would deem weeds and cooks them into delicacies at his restaurant, Essigbrätlein, in Nuremberg.&nbsp;&nbsp;",English
Vaccinating children is a hot topic in the current efforts to try to control the Coronavirus pandemic. DW interviews leading German pediatrician Jörg Dötsch on the ethics and efficacy of inoculating children. ,English
MWC Comeback - K-Pop Tuk Tuk,English
"Small solar panels are to be installed on the roofs of houses in the village of Sabana Real, Dominican Republic. The local project is part of a major plan: By 2025, the country hopes to generate a quarter of its energy from renewable sources.",English
Hundreds of dead bodies of people thought to have perished in the country's deadly second wave have surfaced during the seasonal flooding of the sacred river. The discovery has fuelled allegations that the government concealed the true death toll.,English
Mining cryptocurrencies is a power-hungry thing and bad for the environment. Does Siberia have a solution?,English
Politicians are holding an emergency meeting as new coronavirus cases emerge across the country. Several cities have imposed lockdowns and re-introduced compulsory mask-wearing. Experts say the current outbreak is the most serious since the beginning of the pandemic.,English
K-pop fans are rescuing Bangkok's tuk-tuk drivers who have almost completely gone out of business due to heavy restrictions on tourism.,English
"As China-India relations remain tense over border disagreements, New Delhi is increasingly focusing on developing the Ladakh frontier region that has been neglected for years.",English
The American comedian with Jewish roots broke with a taboo in the 1960s with his parody on Adolf Hitler. That made him world famous and parodies became his trademark.,English
"Spain has joined a handful of countries where terminally or seriously ill people can end their lives legally, provided they fulfill certain criteria and get doctors' approval. The reform came after years of campaigning by supporters. DW's Nicole Ris reports from Madrid.",English
MWC Comeback - Lebanon Crisis,English
The coronovirus crisis has forced many people the world over into working from home and has shown how important connectivity is. Mats Granryd of GSMA tells us what to expect of this year's World Mobile Congress.,English
Lebanon descends into an economic crisis that the World Bank says will likely rank among the worst of the last 150 years.,English
Berlin startup Sneakers Rescue repairs damaged sneakers. Now the young cobbler is launching his own sneaker. It's called First Fair. ,English
"Cathedrals, cloisters, churches, castles — the Romanesque Road runs through Saxony-Anhalt, linking 88 architectural works in 73 places. It is one of the most popular scenic tourist routes in Germany.",English
"While evidence shows that children generally only suffer mild symptoms of the Coronavirus, most scientists believe immunizing children is crucial to achieving herd immunity. Finland is one of the few countries running trials on kids as young as six months. DW's Anna Saraste reports. ",English
"This week, 184 out of 186 votes on a UN General Assembly resolution condemned the 59-year-old US trade embargo against Cuba. Only Israel and the US itself continue to back the sanctions.",English
"Russia is in the grips of a new wave of Coronavirus infections, with 90% of cases being attributed to the rapidly spreading Delta variant. In Moscow authorities recorded 144 deaths in 24 hours — the highest figure since the pandemic. DW's Juri Retscheto reports. ",English
Key inflation gauge up to highest level in 30 years - EU &amp; US could settle trade dispute by year's end - Cuban hopes of lifted US trade embargo fading,English
"Thousands of migrant workers are fleeing Bangladesh's capital, Dhaka, ahead of a new tough coronavirus lockdown. Ships at a river terminal have been packed with people returning to rural areas before restrictions take effect.",English
Britain's health minister has resigned over a breach of coronavirus restrictions that he himself had implemented and emphatically enforced. Matt Hancock admitted breaking the rules after photos and a video emerged of him kissing and embracing an aide in his office. ,English
Protesters have clashed with security forces in the West Bank city of Ramallah over the death of a prominent critic of the Palestinian Authority and President Mahmoud Abbas. There's been growing unrest since Nizar Banat died in police custody.,English
"Escape from reality with Paul Bacon‘s fantasy cars. Electric feelings with the Toyota Proace. And can the Benz Victoria, the oldest car on Germany’s roads, pass the safety test again? ",English
"The Benz Victoria is 127 years old and still going strong. Like all cars, the oldest vehicle on Germany’s roads has to go for its roadworthiness test every 2 years. Will it pass this time? REV is right there where the action is. ",English
Up to 6 people can fit into the Toyota Proace van… a fully electric version is now available with a range of up to 330 km. There are different driving modes for different passenger weight to help save juice. ,English
"According to United Nations estimates, almost 82.4 million people worldwide are fleeing wars, persecution, natural disasters and climate change. And it's the children who suffer the most.",English
"There are 46 UNESCO World Heritage sites in Germany, many of which were built by modernist architects. These include Bauhaus constructions in Weimar, Dessau and Bernau, as well as the Berlin Modernism Housing Estates.",English
"Canada's Prime Minister Justin Trudeau has apologized for ""harmful government policies"" and did not rule out a criminal probe after hundreds of unmarked graves were discovered at a former boarding school for Indigenous children in Saskatchewan province.",English
"In Italy, thousands of Nigerian women are being forced into prostitution. The Nigerian mafia is suspected of being behind it. Insiders warn of the dangers of this 'new mafia' — with connections to Italian organized crime gangs.",English
"Since 2006, D.Light has been offering off-grid solar power solutions — like panels and charging stations — around Africa. The products are relatively inexpensive, but why has the company been so successful?",English
"Originally founded as an artist colony, UNESCO will decide whether Mathildenhöhe will be named as a world heritage site at the end of July, 2021. DW reporter Nicole Fröhlich visited the famous area in Darmstadt.",English
"Bavarian Premier Markus Söder praised the ""courageous acts"" of citizens who tried to thwart the attacker in what witnesses describe as scenes of panic. Now residents are gathering to lay flowers and light candles for the victims at the scene of the bloodshed. ",English
"Hopes are fading that any more survivors will be found in the rubble of a collapsed apartment complex in Florida. As the search continues, reports are emerging that an engineer had warned three years ago that the building had shown evidence of ""major structural damage.""",English
"More Italians are migrating to big cities, and every year around 200,000 leave to go abroad. Entire villages now stand empty. So small towns are providing incentives for incomers - like rent-free homes in Campania or one euro house prices in Sicily.",English
"In Makoko, a major slum in Lagos, there are few prospects for the children — there's only one school. People here mostly make a living from fishing, but the younger generation could change that. Children want to be educated and transform their families' fortunes. DW's Fred Muvunyi reports from the school trying to keep their dreams afloat. ",English
"Anne Lacaton and Jean-Philippe Vassal don’t tear things down. They restore buildings sustainably with surprisingly modest means, while meeting the needs of residents. Their socially and ecologically conscious work won them the 2021 Pritzer Prize. ",English
"In 30 years’ time, far more people will live in cities than today. That means new cities need to be built. But what will the urban centers of the future look like? Utopian concepts for cities are emerging worldwide. ",English
French President Emmanuel Macron announced the end to the country's military operation against Islamist forces in West Africa's Sahel region. He's said the operation would be replaced by a more international effort. Militants have been gaining ground in Mali.,English
"Maybe by the year 2038, everything will be better! Humankind may have entered a new era of tranquility and overcome today’s global problems. Experts at the Venice Biennale’s German Pavilion explain how that's possible. ",English
"How can architecture respond to global crises such as migration, climate change, and political polarization? The Architecture Biennale in Venice is trying to provide solutions, by highlighting how we can live together more sustainably.",English
"We humans are trashing our precious planet. We wage war, destroy the environment and bring the climate to the boiling point. Are there alternatives? Some possible solutions are on display at the Architecture Biennale in Venice.",English
"Derek Chauvin has been sentenced to 22 1/2 years in prison after being found guilty of killing George Floyd, a 46-year-old Black man, in May 2020. In Minneapolis, the judge said he based his decision on Chauvin's abuse of his position and the cruelty he showed to his victim. ",English
"In Italy, thousands of Nigerian women are being forced into prostitution. The Nigerian mafia is thought to be behind it. Plus: The Russian student magazine 'Doxa' takes a critical stance despite government repression of the media.",English
"Four writers and editors of the online student magazine 'Doxa' are currently under house arrest for criticizing the Russian government. But for the young journalists, accepting censorship is out of the question.",English
"Science fiction combined with African mythology — that is the magical mix behind the aesthetics of Afrofuturism. Kenyan artists Osborne Macharia and Cyrus Kabiru, as well as Nigerian comic book artist Ayodeji Makinde, explore and celebrate African identity in film, art, comics — and offer a peek into an alternative African universe.",English
"South Africa, the worst-hit country in the African continent, has entered a third COVID wave. New daily cases more than doubled over the past two weeks. In the province around Johannesburg, hospitals are already reaching their capacity.",English
"The pandemic has had a devastating impact on the tourism sector in France. In Paris, the number of tourists plummeted from over 50m in 2019 to 17m last year. The French capital is hoping eased travel restriction will bring back some of the tourists. ",English
"Eighty years ago, Nazi Germany invaded the Soviet Union in a surprise attack, costing millions of lives. DW met a Russian woman who has been searching most of her life for the remains of soldiers missing in action during World War II. ",English
"80 years ago, Nazi Germany brutally attacked the Soviet Union. Even today many victims have not been found and identified. ++++ Summer vacation in the city or the countryside? Paris is finding it difficult to attract tourists. ",English
"Pakistan is registering and issuing biometric identity cards to 1.4 million refugees from Afghanistan living in the country. The UN refugee agency has supported this effort, hoping to better meet the needs of the refugees. But critics also see another reason why this initiative is being taken right now.",English
The Greek island of Lesbos is struggling with a tide of refugees. Dire conditions in the camps keep making negative headlines around the world. Evangelos Spanos wants to give refugees some hope — and is using soccer to do it.,English
"Three people have been killed and others injured in a knife attack in the German city of Würzburg. Police shot and arrested the suspected perpetrator, a 24-year-old Somali man. Witnesses say pedestrians tried to hold off the attacker.",English
"A world tour without crossing borders: some places in Germany resemble San Francisco, Tokyo and Iceland. Plus, the secret of the perfect baguette. And the Swiss Alps in fascinating infrared photographs.",English
"Arabella Duffy, an inquisitive 9-year-old from London, loves history. She regularly transforms herself into historical figures and tells about their lives. Her short but highly informative videos delight her followers on the internet.",English
