ID,Category
"Molecular imaging is broadly defined as the visualization of molecular and cellular processes on either a macro- or microscopic level. Because of its high spatial resolution and ability to noninvasively visualize internal organs, magnetic resonance (MR) imaging is widely believed to be an ideal platform for in vivo molecular imaging.[1] For this reason, MR contrast agents that can detect molecular events are an active field of research.[2] One group of compounds that has shown particular promise is enzyme-activated MR contrast agents.
Enzyme-activated MR contrast agents are compounds that cause a detectable change in image intensity when in the presence of the active form of a certain enzyme. This makes them useful for in vivo assays of enzyme activity. They are distinguished from current, clinical MR contrast agents that give only anatomical information,[3] such as aqueous gadolinium compounds, by their ability to make molecular processes visible. Enzyme-activated contrast agents are powerful tools for molecular imaging. To date, β-galactosidase-activated contrast agents have attracted the most attention in the literature, although there no theoretical reason that other enzymes could not be used to activate contrast agents. Also, mechanisms other than enzyme activation, such as Ca2+-dependent activation, can theoretically be used.[2]",English
"Setor de Indústria e Abastecimento is an administrative region in the Federal District in Brazil.
",English
"
Pajero Group (Urdu and Punjabi: پجارو گروپ) is a 1994 Pakistani, action and musical film directed by Idrees Khan and produced by Shafiq Butt. [1] Film starring actor Sultan Rahi, Ghulam Mohiuddin, Izhar Qazi, Mustafa Qureshi and Humayun Qureshi, Edited by Mohammad Ashiq Ali Hujra Shah Muqeem.[2]",English
"The Gau Lower Silesia (German: Gau Niederschlesien) was an administrative division of Nazi Germany from 1941 to 1945 in the Lower Silesia part of the Prussian Province of Silesia. The Gau was created when the Gau Silesia was split into Lower Silesia and Upper Silesia in 1941. The majority of the former Gau became part of Poland after the Second World War, with small parts in the far west becoming part of the future East Germany.
The Nazi Gau (plural Gaue) system was originally established in a party conference on 22 May 1926, in order to improve administration of the party structure. From 1933 onwards, after the Nazi seizure of power, the Gaue increasingly replaced the German states as administrative subdivisions in Germany.[1]",English
"A young person called traffic cadet (German Verkehrskadett, plural Verkehrskadetten) is someone who manages traffic circulations as a crossing guard at events. They may work alone, but sometimes, they are assisted by police officers or vice versa.
The Verkehrskadetten are the organization for youth of the Deutsche Verkehrswacht. They are joined by teenage traffic assistant, which assist the local police, the Code enforcement or the organizing committee at any kind of event.",English
"The Don Shula NFL High School Coach of the Year Award is awarded annually to a high school football head coach in the United States that displays ""the integrity, achievement, and leadership exemplified by the winningest coach in NFL history, Don Shula.""[1] It was created by the National Football League Foundation and first awarded for 2010, known then as the Don Shula NFL Coach of the Year Award, and coaches from the high school, college, and professional levels were eligible to receive it.[2] It became an exclusively high school award in 2011 when it was awarded as part of the 1st Annual NFL Honors.[3] Each of the 32 teams in the National Football League nominate a high school coach for each season's award. Two finalists each receive $15,000 from the NFL Foundation with $10,000 going to the schools' football programs.[4] The award was designed and sculpted by artist Stephanie Borgese.
",English
"Founded in 1947 in California, Sierra Bullets is an American manufacturer of bullets intended for firearms. Based in Sedalia, Missouri since 1990, Sierra manufactures a very wide range of bullets for both rifles and pistols. Sierra bullets are used for precision target shooting, hunting and defense purposes. Available calibers range from .204 (suitable for the .204 Ruger) through to .500 (suitable for the .500 S&W Magnum).[1]
In the late 1940s, three aircraft machinists, Frank Snow, Jim Spivey and Loren Harbor, rented space from Clint Harris in the Harris Machine Shop in Whittier, California to produce precision rivets for the aircraft industry, along with fishing rod guides and rifle front sight ramps. They were having financial difficulties, so Clint Harris invested about $500 and became a 25% owner in the company. He was basically a non-active owner, while the other 3 actually ran the company. Right after World War II, there was a shortage of bullets, especially quality rifle bullets, and so Frank Snow, a competitive shooter and a part-time Sheriff's deputy, began manufacturing match rifle bullets. Before long, they were selling a 53 grain match bullet to the Hollywood Gun Shop. That bullet is now known as the Sierra #1400 53 grain MatchKing. Before long, the company outgrew that facility and rented a large Quonset hut in Rivera, California. They outgrew that facility and built a larger facility in Whittier, California. They also changed the company name to Sierra Bullets. During that time, they bought out Clint Harris. The bullet business continued to grow. About 1963, Sierra moved to a new plant in Santa Fe Springs, California. This plant was about 25 to 30,000 square feet with a 200-yard range built under the plant.",English
"
Frederick George Cooke (1 February 1897 – 17 July 1965) was an Australian politician. He was a member of the New South Wales Legislative Assembly for a single term from 1950 until 1953 . He was a member of the Country Party.",English
"
Basappa Jaya (3 September 1944 – 3 June 2021), commonly known as B. Jaya, was an Indian actress, known for her work in Kannada cinema.[1] She acted in over 200 films. For her performance in the movie Gowdru, Jaya won the Karnataka State Film Award for Best Supporting Actress in 2004-05.",English
"Drum Tower or Gulou may refer to:
",English
"The 2013 Clásica de Almería was the 28th edition of the Clásica de Almería cycle race and was held on 24 February 2013. The race started in Roquetas de Mar and finished in Almería.[2] The race was won by Mark Renshaw.
",English
"
Raises Academy (Angono, Rizal) Inc. popularly known as Raises Academy is a private, non-sectarian school in Angono, Rizal Philippines. It is located at Brgy. San Pedro, for Preschool and Elementary, and Brgy. Kalayaan for High School. It was founded on February 21, 1997. From its initial nature as a tutorial center, it was transformed to a formal school providing accommodation to twenty-eight members of the faculty and catering to comparatively seven hundred fifty students. The new annex building was built to accommodate its growing family.",English
"Mobile news refers to both the delivery and creation of news using mobile devices.
Today, mobile news delivery can be done via SMS, by specialized applications, or using mobile versions of media websites. According to a recent market study across six countries (France, Germany, Italy, Spain, UK, and US), 16.9% of consumers access news and information via mobile devices, either via browser, downloaded application, or SMS alerts.[1]",English
"The administrative divisions of Hubei, a province of the People's Republic of China, consists of prefecture-level divisions subdivided into county-level divisions then subdivided into township-level divisions.
All of these administrative divisions are explained in greater detail at Administrative divisions of the People's Republic of China. This chart lists only prefecture-level and county-level divisions of Hubei.",English
"
Ribes speciosum is a species of flowering plant in the family Grossulariaceae, which includes the edible currants and gooseberries. It is a spiny deciduous shrub with spring-flowering, elongate red flowers that resemble fuchsias, though it is not closely related. Its common names are fuchsia-flowered gooseberry and Californian fuchsia.[2] It is native to central and southern California and Baja California, where it grows in the scrub and chaparral of the coastal mountain ranges.[3][4]",English
"This is a list of records of the women's football tournament in the Olympic games ever since the inaugural edition in 1996.
Teams having equal quantities in the tables below are ordered by the tournament the quantity was attained in (the teams that attained the quantity first are listed first). If the quantity was attained by more than one team in the same tournament, these teams are ordered alphabetically.",English
